.,1
_,3
.,.,3
.,_,5
_,.,5
.,.,.,5
_,_,7
.,.,_,7
.,_,.,7
_,.,.,7
.,.,.,.,7
.,_,_,9
_,.,_,9
_,_,.,9
.,.,.,_,9
.,.,_,.,9
.,_,.,.,9
_,.,.,.,9
.,.,.,.,.,9
_,_,_,11
.,.,_,_,11
.,_,.,_,11
.,_,_,.,11
_,.,.,_,11
_,.,_,.,11
_,_,.,.,11
.,.,.,.,_,11
.,.,.,_,.,11
.,.,_,.,.,11
.,_,.,.,.,11
_,.,.,.,.,11
.,_,_,_,13
_,.,_,_,13
_,_,.,_,13
_,_,_,.,13
.,.,.,_,_,13
.,.,_,.,_,13
.,.,_,_,.,13
.,_,.,.,_,13
.,_,.,_,.,13
.,_,_,.,.,13
_,.,.,.,_,13
_,.,.,_,.,13
_,.,_,.,.,13
_,_,.,.,.,13
_,_,_,_,15
.,.,_,_,_,15
.,_,.,_,_,15
.,_,_,.,_,15
.,_,_,_,.,15
_,.,.,_,_,15
_,.,_,.,_,15
_,.,_,_,.,15
_,_,.,.,_,15
_,_,.,_,.,15
_,_,_,.,.,15
.,_,_,_,_,17
_,.,_,_,_,17
_,_,.,_,_,17
_,_,_,.,_,17
_,_,_,_,.,17
_,_,_,_,_,19
